"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 2","22.40","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 2","-7.40","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 2","-10.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 2","-5.30","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","Sequence Sequence 1","1.60","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","Sequence Sequence 2","5.54","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","Sequence Sequence 1","1.60","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","Sequence Sequence 2","4.00","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","Sequence Sequence 1","1.60","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","Sequence Sequence 2","-3.00","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","Sequence Sequence 1","1.60","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","Sequence Sequence 2","-8.60","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","Sequence Sequence 2","4.60","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","Sequence Sequence 2","-0.50","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","Sequence Sequence 2","-6.51","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","Sequence Sequence 2","-3.50","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","Sequence Sequence 2","-1.05","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","Sequence Sequence 2","3.70","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","Sequence Sequence 2","-5.45","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","Sequence Sequence 2","-7.60","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","Sequence Sequence 2","-10.90","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","Sequence Sequence 2","-0.20","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","Sequence Sequence 2","-8.20","",""
